tag_id,timestamp_utc,value,unit,quality,exported_at_utc
GA-OLW.P-999.RUN_HRS,2026-09-02T22:00:00Z,70.0,h,GOOD,2026-09-04T01:30:00Z
CG-MBK.P-101.RUN_HRS,2026-09-02T22:00:00Z,63229.0,h,GOOD,2026-09-04T01:30:00Z
GA-OLW.K-101A.RUN_HRS,2026-09-03T23:00:00Z,185503.0,h,GOOD,2026-09-04T01:30:00Z
GA-JNR.G-401.RUN_HRS,2026-09-02T16:00:00Z,210592.0,h,GOOD,2026-09-04T01:30:00Z
GA-JNR.G-401.RUN_HRS,2026-09-04T01:00:00Z,210625.0,h,GOOD,2026-09-04T01:30:00Z
GA-OLW.P-301B.RUN_HRS,2026-09-03T12:00:00Z,2464440.0,min,GOOD,2026-09-04T01:30:00Z
GA-OLW.P-999.RUN_HRS,2026-09-03T22:00:00Z,94.0,h,GOOD,2026-09-04T01:30:00Z
GA-JNR.G-401.RUN_HRS,2026-09-03T17:00:00Z,210617.0,h,GOOD,2026-09-04T01:30:00Z
GA-JNR.PG.RUN_HRS,2026-09-03T01:00:00Z,415122.0,h,GOOD,2026-09-04T01:30:00Z
CG-MBK.P-101.RUN_HRS,2026-09-03T06:00:00Z,63233.0,h,GOOD,2026-09-04T01:30:00Z
GA-OLW.P-301B.RUN_HRS,2026-09-03T08:00:00Z,2464200.0,min,GOOD,2026-09-04T01:30:00Z
GA-OLW.P-301A.RUN_HRS,2026-09-03T12:00:00Z,98842.0,h,GOOD,2026-09-04T01:30:00Z
GA-OLW.P-301B.RUN_HRS,2026-09-03T17:00:00Z,2464740.0,min,GOOD,2026-09-04T01:30:00Z
GA-JNR.K-101.RUN_HRS,2026-09-03T15:00:00Z,149975.0,h,GOOD,2026-09-04T01:30:00Z
GA-OLW.P-777.RUN_HRS,2026-09-03T08:00:00Z,33006.8,h,GOOD,2026-09-04T01:30:00Z
GA-OLW.K-101B.RUN_HRS,2026-09-04T01:00:00Z,172003.0,h,GOOD,2026-09-04T01:30:00Z
GA-OLW.P-777.RUN_HRS,2026-09-02T16:00:00Z,33005.2,h,GOOD,2026-09-04T01:30:00Z
GA-OLW.P-999.RUN_HRS,2026-09-03T23:00:00Z,95.0,h,GOOD,2026-09-04T01:30:00Z
GA-OLW.P-301A.RUN_HRS,2026-09-02T22:00:00Z,98828.0,h,GOOD,2026-09-04T01:30:00Z
GA-OLW.P-999.RUN_HRS,2026-09-04T01:00:00Z,97.0,h,GOOD,2026-09-04T01:30:00Z
GA-JNR.K-101.RUN_HRS,2026-09-03T13:00:00Z,149973.0,h,GOOD,2026-09-04T01:30:00Z
GA-JNR.K-101.RUN_HRS,2026-09-02T17:00:00Z,149953.0,h,GOOD,2026-09-04T01:30:00Z
