tag_id,timestamp_utc,value,unit,quality,exported_at_utc
GA-JNR.K-101.RUN_HRS,2026-09-02T19:00:00Z,149955.0,h,GOOD,2026-09-03T01:30:00Z
GA-OLW.P-999.RUN_HRS,2026-09-01T18:00:00Z,42.0,h,GOOD,2026-09-03T01:30:00Z
GA-OLW.K-101A.RUN_HRS,2026-09-02T19:00:00Z,185475.0,h,GOOD,2026-09-03T01:30:00Z
CG-MBK.P-101.RUN_HRS,2026-09-01T22:00:00Z,63217.0,h,GOOD,2026-09-03T01:30:00Z
GA-OLW.P-301B.RUN_HRS,2026-09-01T23:00:00Z,2462220.0,min,GOOD,2026-09-03T01:30:00Z
GA-OLW.P-301A.RUN_HRS,2026-09-02T18:00:00Z,98824.0,h,GOOD,2026-09-03T01:30:00Z
GA-OLW.K-101B.RUN_HRS,2026-09-02T20:00:00Z,172003.0,h,GOOD,2026-09-03T01:30:00Z
GA-OLW.K-101B.RUN_HRS,2026-09-02T14:00:00Z,172003.0,h,GOOD,2026-09-03T01:30:00Z
GA-JNR.G-401.RUN_HRS,2026-09-02T03:00:00Z,0.0,h,BAD,2026-09-03T01:30:00Z
CG-MBK.P-101.RUN_HRS,2026-09-02T21:00:00Z,63228.5,h,GOOD,2026-09-03T01:30:00Z
GA-JNR.G-402.RUN_HRS,2026-09-01T18:00:00Z,205148.0,h,GOOD,2026-09-03T01:30:00Z
GA-JNR.PG.RUN_HRS,2026-09-01T19:00:00Z,415062.0,h,GOOD,2026-09-03T01:30:00Z
GA-JNR.G-402.RUN_HRS,2026-09-02T22:00:00Z,205176.0,h,GOOD,2026-09-03T01:30:00Z
CG-MBK.P-101.RUN_HRS,2026-09-02T20:00:00Z,63228.0,h,GOOD,2026-09-03T01:30:00Z
GA-JNR.PG.RUN_HRS,2026-09-02T18:00:00Z,415108.0,h,GOOD,2026-09-03T01:30:00Z
GA-JNR.G-402.RUN_HRS,2026-09-02T14:00:00Z,205168.0,h,GOOD,2026-09-03T01:30:00Z
