tag_id,timestamp_utc,value,unit,quality,exported_at_utc
GA-OLW.P-301A.RUN_HRS,2026-09-04T20:00:00Z,10.0,h,GOOD,2026-09-06T01:30:00Z
GA-OLW.P-999.RUN_HRS,2026-09-05T14:00:00Z,134.0,h,GOOD,2026-09-06T01:30:00Z
GA-OLW.P-777.RUN_HRS,2026-09-05T16:00:00Z,33012.4,h,GOOD,2026-09-06T01:30:00Z
GA-OLW.K-101B.RUN_HRS,2026-09-05T02:00:00Z,172003.0,h,GOOD,2026-09-06T01:30:00Z
GA-JNR.PG.RUN_HRS,2026-09-05T16:00:00Z,415248.0,h,GOOD,2026-09-06T01:30:00Z
GA-JNR.PRESS-2001.PV,2026-09-04T15:00:00Z,12.46,barg,GOOD,2026-09-06T01:30:00Z
GA-JNR.G-401.RUN_HRS,2026-09-05T07:00:00Z,210655.0,h,GOOD,2026-09-06T01:30:00Z
GA-OLW.P-301B.RUN_HRS,2026-09-05T20:00:00Z,2467800.0,min,GOOD,2026-09-06T01:30:00Z
GA-OLW.K-101B.RUN_HRS,2026-09-05T05:00:00Z,172003.0,h,GOOD,2026-09-06T01:30:00Z
GA-OLW.K-101B.RUN_HRS,2026-09-05T11:00:00Z,172003.0,h,GOOD,2026-09-06T01:30:00Z
GA-OLW.P-999.RUN_HRS,2026-09-05T03:00:00Z,123.0,h,GOOD,2026-09-06T01:30:00Z
GA-OLW.K-101A.RUN_HRS,2026-09-04T15:00:00Z,185519.0,h,GOOD,2026-09-06T01:30:00Z
GA-OLW.P-999.RUN_HRS,2026-09-05T05:00:00Z,125.0,h,GOOD,2026-09-06T01:30:00Z
GA-OLW.P-999.RUN_HRS,2026-09-05T17:00:00Z,137.0,h,GOOD,2026-09-06T01:30:00Z
GA-OLW.P-777.RUN_HRS,2026-09-05T07:00:00Z,33011.5,h,GOOD,2026-09-06T01:30:00Z
CG-MBK.P-101.RUN_HRS,2026-09-05T14:00:00Z,63261.0,h,GOOD,2026-09-06T01:30:00Z
GA-JNR.G-402.RUN_HRS,2026-09-04T20:00:00Z,205222.0,h,GOOD,2026-09-06T01:30:00Z
GA-OLW.P-777.RUN_HRS,2026-09-05T12:00:00Z,33012.0,h,GOOD,2026-09-06T01:30:00Z
GA-JNR.PRESS-2001.PV,2026-09-04T17:00:00Z,12.63,barg,GOOD,2026-09-06T01:30:00Z
GA-OLW.P-301A.RUN_HRS,2026-09-04T16:00:00Z,6.0,h,GOOD,2026-09-06T01:30:00Z
GA-OLW.P-301B.RUN_HRS,2026-09-04T14:00:00Z,2466000.0,min,GOOD,2026-09-06T01:30:00Z
GA-OLW.P-301A.RUN_HRS,2026-09-05T10:00:00Z,24.0,h,GOOD,2026-09-06T01:30:00Z
GA-OLW.K-101B.RUN_HRS,2026-09-05T21:00:00Z,172003.0,h,GOOD,2026-09-06T01:30:00Z
GA-OLW.K-101B.RUN_HRS,2026-09-05T07:00:00Z,172003.0,h,GOOD,2026-09-06T01:30:00Z
GA-JNR.PG.RUN_HRS,2026-09-04T15:00:00Z,415198.0,h,GOOD,2026-09-06T01:30:00Z
GA-OLW.P-301A.RUN_HRS,2026-09-05T19:00:00Z,33.0,h,GOOD,2026-09-06T01:30:00Z
GA-OLW.P-301A.RUN_HRS,2026-09-05T08:00:00Z,22.0,h,GOOD,2026-09-06T01:30:00Z
GA-OLW.P-999.RUN_HRS,2026-09-04T14:00:00Z,110.0,h,GOOD,2026-09-06T01:30:00Z
GA-JNR.G-401.RUN_HRS,2026-09-05T11:00:00Z,210659.0,h,GOOD,2026-09-06T01:30:00Z
GA-OLW.P-999.RUN_HRS,2026-09-05T01:00:00Z,121.0,h,GOOD,2026-09-06T01:30:00Z
GA-JNR.PRESS-2001.PV,2026-09-05T12:00:00Z,11.6,barg,GOOD,2026-09-06T01:30:00Z
GA-JNR.G-402.RUN_HRS,2026-09-04T17:00:00Z,205219.0,h,GOOD,2026-09-06T01:30:00Z
GA-OLW.P-301B.RUN_HRS,2026-09-05T09:00:00Z,2467140.0,min,GOOD,2026-09-06T01:30:00Z
GA-OLW.P-777.RUN_HRS,2026-09-04T20:00:00Z,33010.4,h,GOOD,2026-09-06T01:30:00Z
GA-JNR.PG.RUN_HRS,2026-09-05T02:00:00Z,415220.0,h,GOOD,2026-09-06T01:30:00Z
CG-MBK.P-101.RUN_HRS,2026-09-05T08:00:00Z,63258.0,h,GOOD,2026-09-06T01:30:00Z
GA-OLW.P-777.RUN_HRS,2026-09-05T20:00:00Z,33012.8,h,GOOD,2026-09-06T01:30:00Z
GA-OLW.P-301B.RUN_HRS,2026-09-04T22:00:00Z,2466480.0,min,GOOD,2026-09-06T01:30:00Z
GA-JNR.K-101.RUN_HRS,2026-09-04T15:00:00Z,149999.0,h,GOOD,2026-09-06T01:30:00Z
GA-JNR.K-101.RUN_HRS,2026-09-05T17:00:00Z,150025.0,h,GOOD,2026-09-06T01:30:00Z
GA-JNR.PG.RUN_HRS,2026-09-04T14:00:00Z,415196.0,h,GOOD,2026-09-06T01:30:00Z
GA-JNR.K-101.RUN_HRS,2026-09-06T00:00:00Z,150032.0,h,GOOD,2026-09-06T01:30:00Z
GA-JNR.PG.RUN_HRS,2026-09-06T00:00:00Z,415264.0,h,GOOD,2026-09-06T01:30:00Z
GA-OLW.K-101B.RUN_HRS,2026-09-05T22:00:00Z,172003.0,h,GOOD,2026-09-06T01:30:00Z
GA-OLW.K-101B.RUN_HRS,2026-09-05T23:00:00Z,172003.0,h,GOOD,2026-09-06T01:30:00Z
GA-OLW.P-777.RUN_HRS,2026-09-06T01:00:00Z,33013.3,h,GOOD,2026-09-06T01:30:00Z
GA-JNR.G-401.RUN_HRS,2026-09-05T17:00:00Z,210665.0,h,GOOD,2026-09-06T01:30:00Z
GA-JNR.K-101.RUN_HRS,2026-09-05T22:00:00Z,150030.0,h,GOOD,2026-09-06T01:30:00Z
GA-OLW.K-101B.RUN_HRS,2026-09-04T23:00:00Z,172003.0,h,GOOD,2026-09-06T01:30:00Z
GA-JNR.G-401.RUN_HRS,2026-09-05T01:00:00Z,210649.0,h,GOOD,2026-09-06T01:30:00Z
GA-OLW.P-301B.RUN_HRS,2026-09-05T00:00:00Z,2466600.0,min,GOOD,2026-09-06T01:30:00Z
GA-JNR.PG.RUN_HRS,2026-09-05T07:00:00Z,415230.0,h,GOOD,2026-09-06T01:30:00Z
GA-OLW.K-101A.RUN_HRS,2026-09-05T07:00:00Z,185535.0,h,GOOD,2026-09-06T01:30:00Z
GA-JNR.G-401.RUN_HRS,2026-09-04T16:00:00Z,210640.0,h,GOOD,2026-09-06T01:30:00Z
GA-JNR.K-101.RUN_HRS,2026-09-05T16:00:00Z,150024.0,h,GOOD,2026-09-06T01:30:00Z
GA-JNR.PRESS-2001.PV,2026-09-05T21:00:00Z,13.12,barg,GOOD,2026-09-06T01:30:00Z
GA-JNR.K-101.RUN_HRS,2026-09-05T23:00:00Z,150031.0,h,GOOD,2026-09-06T01:30:00Z
GA-OLW.P-301B.RUN_HRS,2026-09-04T23:00:00Z,2466540.0,min,GOOD,2026-09-06T01:30:00Z
GA-JNR.K-101.RUN_HRS,2026-09-05T09:00:00Z,150017.0,h,GOOD,2026-09-06T01:30:00Z
CG-MBK.P-101.RUN_HRS,2026-09-05T06:00:00Z,63257.0,h,GOOD,2026-09-06T01:30:00Z
GA-JNR.PRESS-2001.PV,2026-09-04T21:00:00Z,13.13,barg,GOOD,2026-09-06T01:30:00Z
GA-JNR.G-401.RUN_HRS,2026-09-05T23:00:00Z,210671.0,h,GOOD,2026-09-06T01:30:00Z
GA-OLW.K-101A.RUN_HRS,2026-09-05T18:00:00Z,185546.0,h,GOOD,2026-09-06T01:30:00Z
GA-OLW.K-101A.RUN_HRS,2026-09-05T00:00:00Z,185528.0,h,GOOD,2026-09-06T01:30:00Z
